iter	RMSE
0	13.92038572
1	13.00936187
2	12.21444038
3	11.48774966
4	10.76873698
5	10.28295129
6	9.766373468
7	9.320165063
8	8.886674251
9	8.483826294
10	8.11194056
11	7.838858232
12	7.585180046
13	7.346125116
14	7.114636628
15	6.897010004
16	6.693555698
17	6.531435561
18	6.397740351
19	6.27238638
20	6.169235486
21	6.063674275
22	5.958999585
23	5.869475189
24	5.789598337
25	5.732650912
26	5.666359095
27	5.609972081
28	5.570626406
29	5.521095556
30	5.475118061
31	5.439806846
32	5.40713097
33	5.367023014
34	5.334153535
35	5.311943436
36	5.282616299
37	5.249707544
38	5.223855222
39	5.203121149
40	5.187196437
41	5.183845942
42	5.161082934
43	5.140640589
44	5.122670209
45	5.113215742
46	5.090809827
47	5.063970929
48	5.050571507
49	5.040533553
50	5.027789968
51	5.02429152
52	5.010248475
53	5.002790481
54	4.991775889
55	4.983175202
56	4.975083486
57	4.959776996
58	4.951886723
59	4.929283177
60	4.917656672
61	4.904032666
62	4.895458069
63	4.888672433
64	4.875853639
65	4.868307472
66	4.857880269
67	4.852008971
68	4.842794084
69	4.834017204
70	4.822171029
71	4.80202666
72	4.793474267
73	4.787070545
74	4.786575457
75	4.773039316
76	4.756919933
77	4.745402338
78	4.733141418
79	4.722387172
80	4.713145302
81	4.702432679
82	4.702100478
83	4.688714123
84	4.683170122
85	4.670065359
86	4.65278039
87	4.646585815
88	4.638126476
89	4.626489433
90	4.610635894
91	4.601250177
92	4.587647331
93	4.587015059
94	4.577042195
95	4.564295256
96	4.553855336
97	4.550237087
98	4.530367934
99	4.525527628
