iter	Passed	Remaining
0	1	137
1	2	130
2	3	127
3	5	126
4	6	124
5	7	122
6	9	122
7	10	120
8	11	119
9	13	117
10	14	114
11	15	112
12	16	112
13	18	110
14	19	108
15	20	106
16	21	104
17	22	103
18	24	103
19	25	101
20	26	99
21	27	97
22	28	95
23	29	93
24	30	91
25	31	89
26	32	87
27	33	86
28	34	84
29	35	82
30	36	80
31	36	78
32	37	76
33	39	76
34	40	74
35	41	73
36	41	71
37	43	70
38	44	68
39	44	67
40	45	65
41	46	63
42	46	62
43	47	60
44	48	59
45	49	57
46	49	56
47	50	54
48	51	53
49	52	52
50	53	51
51	54	50
52	55	48
53	55	47
54	56	46
55	57	45
56	58	43
57	59	42
58	60	41
59	60	40
60	61	39
61	62	38
62	63	37
63	64	36
64	65	35
65	66	34
66	67	33
67	68	32
68	69	31
69	70	30
70	71	29
71	71	27
72	72	26
73	73	25
74	73	24
75	74	23
76	75	22
77	76	21
78	77	20
79	78	19
80	79	18
81	80	17
82	80	16
83	81	15
84	82	14
85	83	13
86	84	12
87	85	11
88	86	10
89	87	9
90	88	8
91	89	7
92	89	6
93	90	5
94	91	4
95	92	3
96	93	2
97	93	1
98	94	0
99	95	0
